pid,sem,month_year,gpa,result,ECategory,Hobby,Hobby_level,Name,acadyear,stat,ssc,hsc,cet,diploma
198091,1.0,01-12-2021,9.67,1,hobbies,"sports, music, drawing and arts",school,Paul Lobo,2022-2023,regular,91.0,79.6,93.3,73.0
198092,1.0,01-12-2021,8.61,1,sports,football,school,Ayesha Mirza,2022-2023,regular,86.0,57.5,44.0,73.0
198093,1.0,01-12-2021,9.61,1,cultural,drama,school,Sneha Bansal,2022-2023,regular,94.5,65.7,63.0,73.0
198094,1.0,01-12-2021,9.61,1,hobbies,music,school,Varun Pandey,2022-2023,regular,95.0,79.1,90.5,73.0
198095,1.0,01-12-2021,7.36,1,sports,football,district,Sneha Bansal,2022-2023,regular,93.0,79.5,94.6,73.0
198096,1.0,01-12-2021,8.17,1,hobbies,drawing,school,Sneha Trivedi,2022-2023,regular,89.8,91.8,88.9,73.0
198097,1.0,01-12-2021,9.42,1,hobbies,reading,school,Zaid Tariq,2022-2023,regular,97.2,90.4,95.3,73.0
198098,1.0,01-12-2021,8.11,1,others,i have 2 years of exp zerebral it solution pvt ltd,national,Joseph Noronha,2022-2023,regular,92.4,89.7,86.4,73.0
198099,1.0,01-12-2021,9.78,1,hobbies,singing,school,Teresa Noronha,2022-2023,regular,88.6,69.1,84.1,73.0
198100,1.0,01-12-2021,9.11,1,others,keyboard,school,Rehan Shaikh,2022-2023,regular,90.8,93.3,96.6,73.0
198101,1.0,01-12-2021,9.67,1,sports,relay,school,John Rodrigues,2022-2023,regular,86.4,86.8,89.6,73.0
198102,1.0,01-12-2021,10,1,games,relay,school,Joseph Monteiro,2022-2023,regular,90.4,78.6,85.4,73.0
198103,1.0,01-12-2021,10,1,cultural,dance,school,Joseph Pinto,2022-2023,regular,88.0,60.0,88.3,73.0
198104,1.0,01-12-2021,8.86,1,hobbies,dance,school,Stephen Noronha,2022-2023,regular,95.6,73.6,93.9,73.0
198105,1.0,01-12-2021,8.5,1,others,"homi bhabha, c.v. raman",district,Peter Fernandes,2022-2023,regular,80.2,85.6,85.6,73.0
198106,1.0,01-12-2021,10,1,sports,wushu,state,Peter Rodrigues,2022-2023,regular,94.0,73.6,90.9,73.0
198107,1.0,01-12-2021,9.61,1,games,kungfu,state,Vikram Sharma,2022-2023,regular,79.2,60.0,85.6,73.0
198108,1.0,01-12-2021,9.17,1,hobbies,kungfu,state,Christopher D’Costa,2022-2023,regular,86.5,61.1,85.9,73.0
198109,1.0,01-12-2021,9.17,1,sports,hockey,school,Catherine D’Mello,2022-2023,regular,93.4,93.7,96.7,73.0
198110,1.0,01-12-2021,9.89,1,cultural,bharathnatyam,district,Meera Malhotra,2022-2023,regular,71.2,82.8,78.7,73.0
198111,1.0,01-12-2021,7.89,1,hobbies,"dancing,acting,cooking",school,Kavita Reddy,2022-2023,regular,88.6,75.0,96.0,73.0
198112,1.0,01-12-2021,9.61,1,sports,hockey,school,Manish Choudhary,2022-2023,regular,92.0,78.0,94.0,73.0
198113,1.0,01-12-2021,9.25,1,cultural,bharathnatyam,district,Anthony Pinto,2022-2023,regular,90.6,72.3,93.4,73.0
198114,2.0,01-05-2022,9.3,1,hobbies,"dancing,acting,cooking",school,Neha Choudhary,2022-2023,regular,86.8,62.0,94.2,73.0
198115,2.0,01-05-2022,9.7,1,sports,hockey,school,Meera Malhotra,2022-2023,regular,89.6,67.7,89.5,73.0
198116,2.0,01-05-2022,6.95,1,cultural,bharathnatyam,district,Vikram Agarwal,2022-2023,regular,86.4,71.5,95.3,73.0
198117,2.0,01-05-2022,7.65,1,hobbies,"dancing,acting,cooking",school,Pooja Ghosh,2022-2023,regular,93.0,89.5,97.7,73.0
198118,2.0,01-12-2019,0,0,cultural,"won elocution competition inter school, head girl of the school ",school,Margaret Coelho,2022-2023,regular,83.8,62.5,78.2,73.0
198119,2.0,01-05-2022,10,1,others,"dr. homi bhabha balvaidnyanik competition, sir c.v.raman science talent exam",district,Rahul Kulkarni,2022-2023,regular,84.6,78.2,84.1,73.0
198120,2.0,01-05-2022,9.53,1,sports,throwball athletics ,district,Christopher Castro,2022-2023,regular,85.4,63.5,90.9,73.0
198121,5.0,01-12-2023,9.61,1,games,chess,school,Anthony Fernandes,2022-2023,regular,91.4,74.3,93.2,73.0
198122,2.0,01-05-2022,8.2,1,hobbies,guitar,school,John Noronha,2022-2023,regular,88.0,66.1,94.4,73.0
198123,3.0,01-12-2022,9.35,1,others,world scholars cup,state,Manish Joshi,2022-2023,regular,94.2,93.3,96.9,73.0
198124,3.0,01-12-2022,0,0,games,chess,school,Neha Nair,2022-2023,regular,82.0,71.5,88.1,73.0
198125,3.0,01-12-2022,0,0,hobbies,guitar,school,John Castro,2022-2023,regular,87.4,75.5,83.0,73.0
198126,3.0,01-12-2022,10,1,others,world scholars cup,state,Sanjay Chopra,2022-2023,regular,87.0,55.8,74.9,73.0
198127,3.0,01-12-2022,9.43,1,games,chess,school,Paul Sequeira,2022-2023,regular,77.3,55.2,61.8,73.0
198128,3.0,01-12-2022,7.48,1,hobbies,pianoforte,school,Vikram Chopra,2022-2023,regular,95.2,78.8,88.8,73.0
198129,2.0,01-05-2022,8.55,1,games,chess,school,Zara Rehman,2022-2023,regular,90.4,76.0,94.8,73.0
198130,2.0,01-05-2022,7.1,1,hobbies,pianoforte,school,Rohit Reddy,2022-2023,regular,85.8,69.0,87.0,73.0
198131,1.0,01-05-2023,6.44,1,sports,"basketball, athletics  ",school,Imran Chaudhry,2022-2023,regular,77.8,75.0,84.8,73.0
198132,1.0,01-05-2023,0,0,cultural,"dance (indian and western), music (instrumental-upto grade 3 trinity college exam, singing), drawing (alimentary), speech and drama (trinity college grade exam-grade 5)",school,Rohit Bansal,2022-2023,regular,90.0,65.0,69.3,73.0
198133,1.0,01-05-2023,0,0,hobbies,programming,national,Meera Chopra,2022-2023,regular,91.0,75.8,97.5,73.0
198134,3.0,01-12-2022,9.48,1,hobbies,programming,national,Francis D’Mello,2022-2023,regular,86.6,91.3,94.4,73.0
198135,6.0,01-05-2020,6.68,"rs3 , 4",games,chess,school,Paul D'Souza,2022-2023,regular,87.8,75.3,94.0,73.0
198136,3.0,01-12-2022,7.74,1,hobbies,pianoforte,school,Lucas Machado,2022-2023,regular,93.8,86.7,86.0,73.0
198137,2.0,01-05-2022,6.93,1,hobbies,reading books,school,Mary Castro,2022-2023,regular,79.2,58.6,76.6,73.0
198138,3.0,01-12-2022,6.09,1,hobbies,reading books,school,Margaret Lobo,2022-2023,regular,90.0,74.5,77.6,73.0
198139,3.0,01-12-2022,7.65,1,hobbies,reading books,school,Margaret Menezes,2022-2023,regular,97.6,97.9,90.1,73.0
198140,3.0,01-12-2022,0,0,hobbies,reading books,school,Anne Fernandes,2022-2023,regular,93.2,73.7,62.1,73.0
198141,1.0,01-05-2023,0,0,sports,none,school,Peter Lobo,2022-2023,regular,82.8,64.5,77.1,73.0
198142,2.0,01-05-2022,0,0,games,none,school,Sneha Reddy,2022-2023,regular,74.8,61.5,80.6,73.0
198143,2.0,01-05-2022,9.6,1,cultural,none,school,Meera Bhatt,2022-2023,regular,85.6,84.8,81.0,73.0
198144,2.0,01-05-2022,10,1,hobbies,reading books,school,Mary D’Mello,2022-2023,regular,89.0,76.0,83.0,73.0
198145,3.0,01-12-2022,10,1,others,none,school,Deepak Agarwal,2022-2023,regular,77.5,81.8,86.3,73.0
198146,2.0,01-05-2022,8.8,1,sports,none,school,Thomas Carvalho,2022-2023,regular,91.0,78.0,84.8,73.0
198147,1.0,01-12-2022,8.08,1,games,none,school,Michael Pinto,2022-2023,regular,92.8,81.8,97.3,73.0
198148,2.0,01-05-2022,8.53,1,cultural,none,school,Aarav Malhotra,2022-2023,regular,85.8,75.0,81.6,73.0
198149,3.0,01-12-2022,7,1,hobbies,reading books,school,Junaid Shaikh,2022-2023,regular,89.0,65.0,88.4,73.0
198150,2.0,01-05-2022,7.35,1,others,none,school,Aarav Reddy,2022-2023,regular,85.2,51.8,50.8,73.0
198151,2.0,01-05-2022,9.35,1,sports,2nd in 4*100 mts relay,school,David D’Mello,2022-2023,regular,84.2,90.1,87.3,73.0
198152,2.0,01-05-2022,9.4,1,hobbies,english eassy competition (3rd place),school,Anjali Pandey,2022-2023,regular,82.2,76.7,95.3,73.0
198153,3.0,01-12-2022,9.04,1,cultural,piano,school,Lucas D’Costa,2022-2023,regular,76.0,68.6,35.6,73.0
198154,3.0,01-12-2022,9.87,1,others,elocution competiton and other activities in school,school,Paul Gomes,2022-2023,regular,83.6,88.6,74.1,73.0
198155,3.0,01-12-2022,8.35,1,others,elocution competiton and other activities in school,school,Rohit Joshi,2022-2023,regular,78.2,74.1,96.3,73.0
198156,2.0,01-05-2022,8.75,1,others,elocution competiton and other activities in school,school,Rahul Saxena,2022-2023,regular,91.4,90.3,96.2,73.0
198157,3.0,01-12-2022,0,0,sports,player in the winning team in a school level football tournament,school,Elizabeth Fernandes,2022-2023,regular,83.9,73.5,87.1,73.0
198158,3.0,01-12-2022,0,0,games,football,school,Daniel D’Mello,2022-2023,regular,80.0,58.6,84.2,73.0
198159,3.0,01-12-2022,5.87,1,sports,"basketball,handball, football",school,Paul Gomes,2022-2023,regular,86.4,67.1,81.8,73.0
198160,3.0,01-12-2022,0,0,hobbies,"basketball,handball, football",district,David Carvalho,2022-2023,regular,94.8,67.0,93.9,73.0
198161,2.0,01-05-2022,7.75,1,sports,basketballhandball football,district,Omar Hussain,2022-2023,regular,95.6,83.1,80.4,73.0
198162,3.0,01-12-2022,0,0,hobbies,taikwando-yellow belt,district,Daniel Pinto,2022-2023,regular,96.0,54.5,83.2,73.0
198163,3.0,01-12-2022,0,0,sports,"relay,drill race,shot put",school,Daniel Machado,2022-2023,regular,79.2,74.2,96.7,73.0
198164,2.0,01-05-2022,9,1,games,kho-kho,school,Rahul Choudhary,2022-2023,regular,94.0,77.1,94.6,73.0
198165,3.0,01-12-2022,0,0,cultural,"dance,singing",school,Varun Verma,2022-2023,regular,79.4,79.3,97.7,73.0
198166,3.0,01-12-2022,0,0,hobbies,sketching,school,Deepak Desai,2022-2023,regular,89.0,55.8,50.5,73.0
198167,3.0,01-12-2022,0,0,others,elementary and intermediate ,school,Varun Reddy,2022-2023,regular,91.6,74.0,89.5,73.0
198168,3.0,01-12-2022,0,0,others,"middleschool scholarship , highschool scholarship",state,Paul Dias,2022-2023,regular,83.0,79.7,78.1,73.0
198169,3.0,01-12-2022,7,1,sports,badminton,district,Anjali Ghosh,2022-2023,regular,86.4,62.4,82.9,73.0
198170,3.0,01-12-2022,0,0,hobbies,reading books,school,Khalid Shaikh,2022-2023,regular,91.8,81.8,92.7,73.0
198171,2.0,01-05-2022,7.55,1,sports,volleyball,school,John Noronha,2022-2023,regular,89.2,90.3,94.4,73.0
198172,3.0,01-12-2022,0,0,hobbies,"drawing""a"" grade in intermediate drawing examination",state,Neha Ghosh,2022-2023,regular,83.8,69.0,75.6,73.0
198173,3.0,01-12-2022,0,0,sports,football,school,Deepak Patel,2022-2023,regular,90.0,75.7,85.1,73.0
198174,3.0,01-12-2022,0,0,games,chess,school,Priya Sharma,2022-2023,regular,87.4,71.3,77.1,73.0
198175,3.0,01-12-2022,6.52,1,hobbies,card making,school,Ramesh Chopra,2022-2023,regular,74.0,0.0,77.1,88.3
198176,2.0,01-12-2022,0,0,games,card making,school,Yusuf Chaudhry,2022-2023,regular,83.2,0.0,77.1,88.5
198177,2.0,01-12-2022,6.55,1,hobbies,card making,school,Meera Malhotra,2022-2023,regular,81.2,0.0,77.1,85.1
198178,2.0,01-05-2022,6.98,1,sports,football,district,Aarav Nair,2022-2023,regular,77.0,0.0,77.1,86.3
198179,4.0,01-12-2022,0,0,games,draughts,school,Priya Ghosh,2022-2023,regular,64.4,0.0,77.1,85.7
198180,4.0,01-12-2022,0,0,hobbies,currency collection,school,Sanjay Malhotra,2022-2023,regular,79.2,0.0,77.1,87.4
198181,1.0,01-05-2023,7.11,1,games,draughts,school,Simon Fernandes,2022-2023,regular,78.6,0.0,77.1,80.9
198182,2.0,01-05-2022,7.73,1,hobbies,currency collection,school,Rohit Reddy,2022-2023,regular,93.8,0.0,77.1,90.5
198183,1.0,01-05-2023,7.33,1,games,draughts,school,Rajesh Nair,2022-2023,regular,71.4,0.0,77.1,85.8
198184,4.0,01-05-2023,0,0,hobbies,currency collection,school,Peter Pereira,2022-2023,regular,91.1,0.0,77.1,89.5
198185,5.0,01-05-2023,0,0,sports,throwball,district,Anjali Ghosh,2022-2023,regular,92.0,0.0,77.1,90.5
198186,2.0,01-05-2022,9.5,1,sports,"basketball, football, cricket",school,Sneha Nair,2022-2023,regular,89.4,0.0,77.1,90.0
198187,1.0,01-12-2018,0,0,games,tug of war,school,Simon Rodrigues,2023-2024,regular,91.6,71.2,90.5,90.0
198188,2.0,01-05-2022,0,0,cultural,western group dance,school,John Pinto,2023-2024,regular,86.1,82.4,80.0,90.0
198189,2.0,01-05-2022,7.6,1,sports,wushu / kickboxing ,state,Meera Mehta,2023-2024,regular,94.4,81.3,49.5,90.0
198190,2.0,01-05-2022,7.25,1,games,wushu / kickboxing,state,Priya Joshi,2023-2024,regular,88.7,70.5,81.0,90.0
198191,2.0,01-05-2022,8.9,1,hobbies,martial arts (kung fu),state,Vikram Pandey,2023-2024,regular,87.2,74.6,92.6,90.0
198192,2.0,01-05-2022,7.2,1,hobbies,"music,playing keyboard instrument,cricket.",school,Pooja Bansal,2023-2024,regular,91.6,68.1,93.8,90.0
198193,2.0,01-05-2022,8.3,1,cultural,mun(mock united nations),school,Varun Kulkarni,2023-2024,regular,93.4,91.6,94.2,90.0
198194,2.0,01-05-2022,8.7,1,sports,mun(mock united nations),district,John Almeida,2023-2024,regular,86.0,61.6,75.1,90.0
198195,2.0,01-05-2022,8.25,1,others,essay writing,school,Rehan Rehman,2023-2024,regular,86.2,59.4,96.0,90.0
198196,1.0,01-05-2023,5.89,1,hobbies,singing ,school,Simon D'Souza,2023-2024,regular,91.8,77.8,94.4,90.0
198197,1.0,01-05-2023,6.64,1,others,science exhibitions,school,Vikram Patel,2023-2024,regular,89.2,63.0,77.0,90.0
198198,1.0,01-05-2023,0,0,cultural,mun(mock united nations),school,Anne Lobo,2023-2024,regular,67.6,61.5,90.8,90.0
198199,1.0,01-05-2023,0,0,sports,silver medal in kabbadi,school,Teresa Rodrigues,2023-2024,regular,73.8,79.0,97.7,90.0
198200,2.0,01-05-2022,9.8,1,cultural,science exhibition(regional level),school,Vikram Pandey,2023-2024,regular,83.8,87.3,92.8,90.0
198201,2.0,01-05-2022,0,0,sports,footbal,district,Aarav Patel,2023-2024,regular,92.6,77.2,94.2,90.0
198202,2.0,01-05-2022,5.45,1,sports,cricket volleyball,school,Anjali Bhatt,2023-2024,regular,78.8,79.0,77.8,90.0
198203,2.0,01-05-2022,6.65,1,cultural,participated in cultural programs in school,school,Vikram Kulkarni,2023-2024,regular,82.4,55.0,84.0,90.0
198204,2.0,01-05-2022,8.75,1,hobbies,"reading, cycling, playing musical instrument",school,Anthony Noronha,2023-2024,regular,89.7,72.3,85.4,90.0
198205,2.0,01-05-2022,7.35,1,hobbies,drawing(intermrediate),state,Peter Fernandes,2023-2024,regular,94.4,64.6,75.8,90.0
198206,2.0,01-05-2022,7.75,1,sports,football,school,Kavita Sharma,2023-2024,regular,91.6,73.8,83.2,90.0
198207,2.0,01-05-2022,0,0,cultural,musician,school,Kiran Bansal,2023-2024,regular,77.8,58.8,76.7,90.0
198208,2.0,01-05-2023,0,0,hobbies,drawing(intermrediate),state,Vikram Sharma,2023-2024,regular,92.8,71.7,75.3,90.0
198209,2.0,01-05-2023,0,0,sports,badminton,school,Sameer Nawaz,2023-2024,regular,93.0,57.5,50.8,90.0
198210,2.0,01-05-2023,0,0,cultural,"music, drama, social work for interact club",school,Sara Khan,2023-2024,regular,81.4,61.2,83.4,90.0
198211,2.0,01-05-2023,8.65,1,hobbies,"badminton, music, art",school,Kavita Mehta,2023-2024,regular,96.8,82.6,89.3,90.0
198212,2.0,01-05-2023,8.55,1,sports,football,district,Pooja Bhatt,2023-2024,regular,94.6,69.0,83.4,90.0
198213,2.0,01-05-2023,9.3,1,sports,running ,school,Catherine Dias,2023-2024,regular,91.9,70.3,90.9,90.0
198214,2.0,01-05-2023,6.83,1,games,none,school,Anthony Coelho,2023-2024,regular,85.0,61.5,82.2,90.0
198215,2.0,01-05-2023,9.15,1,cultural,none,school,Stephen Machado,2023-2024,regular,91.2,63.0,80.0,90.0
198216,5.0,01-12-2023,7.13,1,hobbies,none,school,Varun Malhotra,2023-2024,regular,88.0,73.1,81.5,90.0
198217,3.0,01-12-2023,0,0,others,none,school,Anjali Patel,2023-2024,regular,82.4,69.6,88.8,90.0
198218,2.0,01-05-2022,6.9,1,cultural,dance drama ,school,Sana Shaikh,2023-2024,regular,95.6,89.6,95.7,90.0
198219,2.0,01-05-2022,8.55,1,hobbies,reading drawing and art,school,Naseem Gul,2023-2024,regular,65.7,58.7,97.6,90.0
198220,3.0,01-12-2023,0,0,sports,running ,school,Mary Monteiro,2023-2024,regular,88.4,59.3,84.2,90.0
198221,2.0,01-05-2022,7.78,1,games,none,school,Paul Pinto,2023-2024,regular,89.6,64.8,77.8,90.0
198222,3.0,01-12-2023,0,0,cultural,none,school,Paul D’Mello,2023-2024,regular,86.4,65.6,78.0,90.0
198223,3.0,01-12-2023,0,0,hobbies,none,school,Simon Gomes,2023-2024,regular,93.8,75.2,84.5,90.0
198224,2.0,01-05-2022,7.45,1,others,none,school,Vikram Desai,2023-2024,regular,84.4,71.3,84.5,90.0
198225,1.0,01-12-2020,8.94,1,sports,played inter school cricket match(under 12),school,Meera Patel,2023-2024,regular,88.2,90.8,96.4,90.0
198226,1.0,01-12-2023,0,0,games,--,school,Pooja Desai,2023-2024,regular,90.2,60.5,81.5,90.0
198227,1.0,01-12-2023,6.47,1,cultural,--,school,Neha Iyer,2023-2024,regular,88.6,72.7,83.4,90.0
198228,1.0,01-12-2023,7.33,1,hobbies,--,school,Rajesh Mehta,2023-2024,regular,97.8,83.3,78.4,90.0
198229,1.0,01-12-2023,7.44,1,others,--,school,Thomas Castro,2023-2024,regular,90.8,64.6,80.9,90.0
198230,1.0,01-12-2023,10,1,games,2nd rank in techfest organised in college,school,Manish Agarwal,2023-2024,regular,75.6,72.5,94.6,90.0
198231,1.0,01-12-2023,8.36,1,others,came in the merit list of middle school scholarship examination and higher school scholarship examination.,state,Margaret D’Costa,2023-2024,regular,82.2,58.3,75.0,90.0
198232,1.0,01-12-2023,0,0,sports,none,school,Anthony Almeida,2023-2024,regular,87.0,59.3,75.3,90.0
198233,1.0,01-12-2023,8.11,1,games,none,school,Michael Menezes,2023-2024,regular,74.1,55.0,75.1,90.0
198234,2.0,01-05-2022,8.2,1,cultural,none,school,Anne D'Souza,2023-2024,regular,90.2,71.7,91.7,90.0
198235,1.0,01-12-2023,8.31,1,hobbies,none,school,Pooja Sharma,2023-2024,regular,82.4,64.6,79.0,90.0
198236,1.0,01-12-2020,8.64,1,others,none,school,Mary Coelho,2023-2024,regular,86.6,74.0,91.5,90.0
198237,1.0,01-12-2023,6.97,1,sports,chess,district,Thomas Dias,2023-2024,regular,96.6,73.3,92.0,90.0
198238,1.0,01-12-2023,6.67,1,sports,football,school,Kiran Nair,2023-2024,regular,95.0,90.1,95.5,90.0
198239,1.0,01-12-2023,8.39,1,games,cricket,district,Junaid Qureshi,2023-2024,regular,88.0,73.0,96.5,90.0
198240,1.0,01-12-2023,6.44,1,others,national environment talent search exam (netse) third prize,national,David Almeida,2023-2024,regular,94.8,87.0,97.8,90.0
198241,1.0,01-12-2023,8.33,1,others,"middleschool scolarship,highschool scholarship",state,Priya Trivedi,2023-2024,regular,77.0,62.6,78.4,90.0
198242,1.0,01-12-2023,8.67,1,sports,"cricket,long jump",school,Rohit Bansal,2023-2024,regular,96.0,66.5,73.4,90.0
198243,1.0,01-12-2023,8.17,1,sports,gymnastics and rope malkhamb,district,Lucas Fernandes,2023-2024,regular,58.6,62.8,87.4,90.0
198244,1.0,01-12-2023,7.58,1,hobbies,drawing and painting,school,Priya Malhotra,2023-2024,regular,91.4,69.3,86.3,90.0
198245,2.0,01-05-2022,6.93,1,sports,athletics,school,Rajesh Sharma,2023-2024,regular,74.2,68.3,79.7,90.0
198246,1.0,01-12-2023,7.47,1,others,115 rank in ipm,national,Lucas Dias,2023-2024,regular,82.8,78.5,72.6,90.0
198247,1.0,01-12-2023,0,0,sports,athletics,school,Anne Lobo,2023-2024,regular,88.2,65.0,71.9,90.0
198248,1.0,01-12-2023,8.61,1,hobbies,group dance at vasai kalakrida,district,Catherine Menezes,2023-2024,regular,92.8,79.0,89.7,90.0
198249,1.0,01-12-2023,9.06,1,others,115 rank in ipm,national,Peter Machado,2023-2024,regular,92.6,85.7,96.3,90.0
198250,1.0,01-12-2023,0,0,sports,athletics,school,Kiran Choudhary,2023-2024,regular,93.6,73.2,91.2,90.0
198251,2.0,01-05-2022,6.98,1,hobbies,group dance at vasai kalakrida,district,David Fernandes,2023-2024,regular,91.8,66.5,79.8,90.0
198252,2.0,01-05-2022,0,0,others,115 rank in ipm,national,Varun Verma,2023-2024,regular,76.0,53.5,46.8,90.0
198253,1.0,01-12-2023,8.78,1,sports,athletics,school,Varun Kulkarni,2023-2024,regular,83.8,82.5,93.8,90.0
198254,2.0,01-05-2022,7.8,1,hobbies,group dance at vasai kalakrida,district,Nikita Mehta,2023-2024,regular,94.0,73.7,56.7,90.0
198255,1.0,01-12-2017,0,\n,others,115 rank in ipm,national,Daniel Fernandes,2023-2024,regular,94.8,83.0,93.8,90.0
198256,2.0,01-05-2022,9.8,1,sports,1st price in cricket tournamentsilver medal in long jump,school,Elizabeth Menezes,2023-2024,regular,98.0,86.8,94.6,90.0
198257,2.0,01-05-2022,9.2,1,cultural,hind classical music,school,Rajesh Desai,2023-2024,regular,92.4,63.1,94.8,90.0
198258,2.0,01-05-2022,8.75,1,hobbies,"badminton, throwball, swimming",school,Stephen Machado,2023-2024,regular,80.0,51.3,75.3,90.0
198259,2.0,01-05-2022,7.45,1,sports,kabaddi,school,Catherine Fernandes,2023-2024,regular,80.0,64.0,67.0,90.0
198260,2.0,01-05-2022,7.7,1,games,cricket,school,Sneha Patel,2023-2024,regular,95.4,84.4,86.3,90.0
198261,1.0,01-12-2017,0,0,games,cricket,school,Zara Mirza,2023-2024,regular,83.5,68.3,87.6,90.0
198262,1.0,01-12-2017,0,0,games,cricket,school,Sanjay Choudhary,2023-2024,regular,91.2,60.8,95.1,90.0
198263,2.0,01-05-2022,9.05,1,games,cricket,school,Rohit Desai,2023-2024,regular,89.0,54.5,72.4,90.0
198264,1.0,01-12-2017,0,0,games,cricket,school,Pooja Bhatt,2023-2024,regular,93.7,70.2,91.1,90.0
198265,2.0,01-05-2022,8.5,1,games,cricket,school,Elizabeth Lobo,2023-2024,regular,94.6,76.8,84.1,90.0
198266,2.0,01-05-2022,8.4,1,games,cricket,school,Mary Fernandes,2023-2024,regular,90.6,65.5,73.0,90.0
198267,2.0,01-05-2022,7.3,1,games,cricket,school,Deepak Sharma,2023-2024,regular,86.2,71.0,90.1,90.0
198268,2.0,01-05-2022,7.8,1,games,cricket,school,Neha Sharma,2023-2024,regular,75.6,57.8,43.0,90.0
198269,1.0,01-12-2023,6.42,1,cultural,drama,school,Mary Almeida,2023-2024,regular,80.4,57.2,86.1,90.0
198270,2.0,01-05-2022,7.45,1,sports,football,school,Stephen Pereira,2023-2024,regular,90.5,88.2,95.9,90.0
198271,4.0,01-05-2023,0,0,sports,football ,school,Meera Nair,2023-2024,regular,86.0,71.2,76.6,90.0
198272,4.0,01-05-2023,0,0,games,8 ball pool,school,Meera Joshi,2023-2024,regular,97.2,66.3,90.2,90.0
198273,4.0,01-05-2023,0,0,cultural,no,school,Meera Patel,2023-2024,regular,79.8,75.8,67.7,90.0
198274,2.0,01-05-2022,8.88,1,hobbies,playing games,school,Anjali Bhatt,2023-2024,regular,82.6,65.3,75.0,90.0
198275,1.0,01-12-2023,0,0,others,no,school,Rehan Syed,2023-2024,regular,69.6,60.3,77.0,90.0
198276,5.0,01-12-2022,0,0,games,cricket,school,Vikram Malhotra,2023-2024,regular,78.8,74.4,90.9,90.0
198277,1.0,01-12-2023,0,0,hobbies,reading books,school,Amit Bhatt,2023-2024,regular,88.8,78.2,85.9,90.0
198278,2.0,01-05-2022,8.13,1,sports,cricket football,school,Michael Monteiro,2023-2024,regular,93.8,82.3,96.6,90.0
198279,1.0,01-12-2023,0,0,games,chess,school,Pooja Desai,2023-2024,regular,93.4,66.7,86.9,90.0
198280,4.0,01-05-2023,0,0,hobbies,swimming,school,Rajesh Bansal,2023-2024,regular,92.8,60.8,68.9,90.0
198281,4.0,01-05-2023,0,0,sports,cricket football,school,Margaret Lobo,2023-2024,regular,85.0,65.8,75.1,90.0
198282,1.0,01-12-2023,0,0,games,chess,school,Aarav Bansal,2023-2024,regular,90.8,65.7,92.3,90.0
198283,2.0,01-05-2022,7.15,1,hobbies,swimming,school,Sana Wahid,2023-2024,regular,94.8,68.5,78.4,90.0
198284,2.0,01-05-2022,0,0,sports,football,school,Anthony Sequeira,2023-2024,regular,83.8,70.3,97.9,90.0
198285,1.0,01-12-2023,0,0,sports,karate ,school,Peter Rodrigues,2023-2024,regular,73.8,55.6,56.7,90.0
198286,1.0,01-12-2023,8.81,1,games,carrom,school,Paul Almeida,2023-2024,regular,97.6,84.7,79.7,90.0
198287,1.0,01-12-2023,9.64,1,hobbies,music,school,Elizabeth D’Mello,2023-2024,regular,95.0,75.7,83.3,90.0
198288,1.0,01-12-2023,6.61,1,cultural,singing,school,Neha Trivedi,2023-2024,regular,83.2,82.8,96.2,90.0
198289,1.0,01-12-2023,0,0,sports,i got 2 medals and 3 trophy in cricket .i got 1 certificate in football tournament ,district,Sanjay Sharma,2023-2024,regular,93.0,67.8,92.1,90.0
198290,1.0,01-12-2023,7.75,1,games,"cricket, football, batminton ",school,Nadia Baig,2023-2024,regular,78.8,58.3,87.7,90.0
198291,1.0,01-12-2023,8.86,1,cultural,i got 1 certificate for drama series . ,school,Nikita Desai,2023-2024,regular,93.4,63.8,81.5,90.0
198292,1.0,01-12-2023,0,0,hobbies,i like to read books more specificly novels and thriller story . i like to play outdoor game ,school,Rohit Malhotra,2023-2024,regular,81.4,63.1,78.0,90.0
198293,1.0,01-12-2023,7.67,1,sports,"football, table tennis",school,Teresa Sequeira,2023-2024,regular,95.8,69.5,96.7,90.0
198294,1.0,01-12-2023,7.61,1,games,football,school,Anne Monteiro,2023-2024,regular,84.4,68.5,73.6,90.0
198295,1.0,01-12-2023,7.36,1,cultural,"drama, dance",school,Simon Rodrigues,2023-2024,regular,91.7,66.3,76.8,90.0
198296,1.0,01-12-2023,7.08,1,hobbies,"football, swimming",school,Farhan Shaikh,2023-2024,regular,90.6,90.0,82.4,90.0
198297,2.0,01-05-2022,7.8,1,sports,"football, table tennis",school,Thomas Carvalho,2023-2024,regular,82.8,73.7,91.0,90.0
198298,1.0,01-12-2023,0,0,games,football,school,Sanjay Kulkarni,2023-2024,regular,82.2,63.7,88.0,90.0
198299,1.0,01-12-2023,7.33,1,cultural,"drama, dance",school,Sneha Iyer,2023-2024,regular,77.8,55.5,86.0,90.0
198300,1.0,01-12-2022,7.25,1,hobbies,"football, swimming",school,Kiran Bhatt,2023-2024,regular,77.0,69.0,78.1,90.0
198301,1.0,01-12-2022,8.94,1,others,leadership training,school,Anjali Malhotra,2023-2024,regular,94.6,96.0,98.8,90.0
198302,2.0,01-05-2022,9.35,1,sports,"football, table tennis",school,Priya Patel,2023-2024,regular,91.6,73.0,88.0,90.0
